date,beanName,beanWeight,coffeeWeight,grind,time,notes,weightEverySec,pressureEverySec
2019 04 14 Sun 10:29,huy,18.5,80.9,5.00,56,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.5;3.3;4.8;6.4;7.9;10.1;12.1;13.9;15.7;17.7;19.8;21.8;23.8;25.8;27.9;29.9;32.0;34.1;36.1;38.2;40.3;42.4;44.5;46.6;48.6;50.7;53.0;55.1;57.2;59.1;61.1;63.4;65.6;67.6;69.6;71.6;73.9;76.0;78.1;80.1;80.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 15 Mon 09:46,huy,18.5,37.9,3.75,40,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.9;1.9;2.7;4.0;5.4;6.6;8.4;10.2;12.2;14.5;16.9;19.1;21.6;24.2;26.7;29.6;32.3;34.8;36.9;37.5;37.8;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 15 Mon 09:55,huy,18.5,81.7,4.75,61,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.3;2.4;4.1;5.9;7.5;9.0;10.7;12.5;14.2;16.2;17.8;19.7;21.6;23.3;25.4;27.3;29.2;31.1;33.0;34.8;36.8;38.7;40.5;42.5;44.6;46.4;48.5;50.3;52.2;54.1;56.1;57.9;59.7;61.5;63.4;65.5;67.4;69.2;71.1;73.2;74.9;76.8;78.6;80.5;81.3;81.6;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 19 Fri 09:39,huy,18.5,38.0,3.75,38,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;1.7;2.6;3.3;4.7;5.6;7.0;9.2;11.2;13.4;15.6;18.0;20.6;23.2;25.8;28.5;31.2;34.0;36.5;37.5;37.7;37.9;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 19 Fri 09:49,huy,-18.6,81.0,4.75,50,,0.0;0.0;0.3;1.4;2.6;4.1;5.7;7.0;8.8;10.6;12.1;13.9;15.8;17.4;19.3;21.2;23.0;24.8;26.7;28.5;30.3;32.1;34.0;35.8;37.7;39.5;41.4;43.3;45.2;47.0;48.8;50.4;52.3;54.4;56.2;58.0;59.6;61.5;63.3;65.3;67.0;68.8;70.7;72.4;74.2;76.1;77.7;79.6;80.7;80.9;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 20 Sat 10:47,huy,18.4,37.3,3.75,40,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.7;1.3;1.8;2.3;3.1;3.7;4.9;6.2;7.3;9.2;11.0;13.0;15.3;17.5;19.7;22.2;24.7;27.3;29.9;32.4;35.0;36.8;37.1;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.7;1.0;1.3;1.7;3.3;6.7;8.9;9.9;9.5;9.3;9.2;9.0;8.8;8.4;8.0;8.0;7.7;7.3;6.8;6.2;6.0;5.7;5.4;5.2;4.8;5.0;5.0;4.9;4.9;4.4;3.0;3.1;,
2019 04 20 Sat 10:58,huy,18.7,80.8,4.75,55,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;2.0;3.7;5.5;7.0;9.0;10.8;12.8;14.8;16.6;18.6;20.7;22.8;25.0;27.3;29.5;31.6;33.6;35.9;38.1;40.2;42.5;44.7;46.9;48.9;51.0;53.0;55.2;57.4;59.7;61.8;63.8;65.9;68.1;70.2;72.4;74.4;76.6;78.9;80.5;80.7;,0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.8;1.0;1.2;1.5;2.0;2.5;2.8;2.8;2.7;2.4;2.4;2.3;2.2;2.1;2.0;2.0;2.0;2.0;2.0;1.9;1.9;1.9;1.9;1.9;1.9;1.8;1.9;1.9;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.9;2.0;,
2019 04 20 Sat 16:02,huy,12.1,198.1,23,207,,0.0;0.0;0.0;0.0;0.0;0.6;6.4;11.6;15.9;20.9;24.3;24.6;24.6;24.6;24.6;24.4;24.8;24.3;24.5;24.3;24.4;24.4;24.8;24.8;24.4;24.9;24.6;24.6;24.4;24.4;24.4;24.4;24.4;24.4;24.4;24.4;24.4;24.4;24.4;24.4;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.7;29.5;36.2;43.0;50.2;57.1;64.6;71.2;79.4;86.3;92.1;97.3;103.5;109.0;113.0;113.1;113.2;-15.5;-86.0;-83.2;9.9;113.0;113.1;113.0;113.0;113.0;113.0;113.0;112.9;112.9;112.9;112.9;112.9;112.9;112.9;112.9;112.8;112.9;112.9;112.8;112.9;112.8;112.8;112.8;112.8;112.8;112.8;112.8;112.7;112.8;112.8;112.8;112.8;112.7;112.8;113.8;119.0;126.0;133.2;140.0;147.8;155.1;163.8;175.1;184.3;191.1;194.7;196.4;197.6;198.0;198.7;198.7;162.9;22.3;20.5;165.9;198.6;198.6;198.6;198.6;198.5;198.5;198.5;198.5;198.5;198.5;198.5;198.5;198.5;198.5;198.4;198.4;198.4;198.4;198.4;198.4;198.4;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.3;198.2;198.2;198.2;198.2;198.2;198.2;198.2;198.1;198.2;198.2;198.2;198.2;198.2;198.2;198.2;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.1;198.5;214.7;,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;,
2019 04 21 Sun 09:31,huy,18.6,40.7,3.50,40,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;1.4;2.1;2.9;3.9;4.6;5.9;7.8;9.6;11.5;13.6;15.8;18.0;20.7;23.1;25.6;28.1;30.7;33.5;36.2;38.6;40.2;40.5;,0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.8;1.1;1.3;1.9;3.4;5.5;7.2;8.1;8.4;8.0;7.6;7.5;7.8;7.7;7.2;7.0;6.9;6.5;6.1;5.6;5.3;5.0;4.7;4.5;4.3;4.3;4.3;4.2;3.7;2.6;2.8;,
2019 04 21 Sun 09:42,huy,18.6,112.7,5.00,51,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;1.3;3.1;5.3;7.6;10.0;12.7;15.4;18.3;21.5;24.2;27.2;30.3;33.3;36.3;39.5;42.4;45.3;48.4;51.3;54.3;57.5;60.4;63.5;66.6;69.5;72.7;76.0;78.6;81.7;84.8;87.9;91.1;94.1;96.9;100.1;103.3;106.3;109.2;112.0;112.6;,0.0;0.6;0.6;0.6;0.6;0.6;0.6;0.8;1.1;1.5;2.2;3.4;4.4;4.6;4.3;3.8;3.4;3.1;3.0;2.8;2.7;2.6;2.4;2.4;2.4;2.4;2.3;2.2;2.2;2.3;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.1;2.2;2.2;2.2;2.2;2.1;2.1;2.2;2.2;2.2;2.1;2.1;2.3;,
2019 04 21 Sun 17:22,huy,18.7,41.4,3.50,52,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.4;0.5;0.8;1.3;1.6;2.2;2.6;3.3;4.1;4.9;6.0;7.1;8.9;10.5;11.9;13.8;15.7;17.8;19.8;22.0;24.2;26.5;28.7;30.8;33.2;35.7;38.1;40.1;41.1;41.3;41.4;41.4;40.8;41.4;,0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.9;1.7;3.2;6.3;8.9;10.2;10.2;9.6;9.5;9.3;9.2;9.3;9.2;9.1;8.7;8.5;8.4;8.1;7.8;7.4;7.0;6.6;6.0;5.5;5.0;4.8;4.8;4.7;4.6;4.5;4.3;4.3;4.3;4.1;2.9;2.4;2.7;2.9;3.2;3.5;3.9;,
2019 04 22 Mon 09:28,huy,18.4,37.5,3.75,40,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6;0.8;1.5;2.1;2.8;3.7;4.6;5.9;7.4;9.1;11.0;13.0;15.0;17.2;19.7;22.1;24.6;27.1;29.4;32.2;34.9;36.9;37.4;,0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.9;1.4;2.1;3.9;6.6;8.5;9.4;9.5;8.8;8.6;8.4;8.4;8.2;7.5;7.4;7.2;6.9;6.4;5.7;5.2;4.8;4.7;4.6;4.5;4.4;4.3;4.2;4.0;2.7;2.6;,
2019 04 22 Mon 09:40,huy,18.5,120.3,5.00,53,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;2.4;5.0;7.6;10.3;13.1;15.9;18.6;21.5;24.3;27.2;30.2;33.2;35.9;38.9;41.8;44.8;48.0;50.9;53.8;57.0;59.9;62.8;66.0;68.9;71.9;74.9;77.9;80.8;83.8;86.7;89.6;92.5;95.5;98.7;101.9;104.7;107.4;110.8;113.8;116.6;119.5;120.1;,0.0;0.6;0.6;0.6;0.6;0.6;0.7;0.9;1.1;1.4;2.0;2.7;3.0;3.0;2.9;2.7;2.5;2.4;2.2;2.2;2.1;2.1;2.0;2.0;2.0;2.0;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;2.0;,
2019 04 23 Tue 09:43,huy,18.5,39.1,3.75,39,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;1.5;2.5;3.2;4.2;5.4;6.7;8.6;10.4;12.5;14.5;16.7;19.1;21.6;24.1;26.8;29.5;32.2;35.1;37.8;38.7;38.9;,0.0;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.7;0.8;1.0;1.3;1.9;3.3;5.4;7.0;7.9;8.5;8.7;8.6;8.2;7.7;7.9;7.9;7.5;7.0;6.3;5.9;5.4;5.0;4.8;4.5;4.5;4.4;4.3;4.2;4.1;4.1;4.6;,
2019 04 23 Tue 09:53,huy,18.5,90.7,4.75,59,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.6;3.1;4.5;6.1;7.7;9.7;11.8;13.9;16.0;18.1;20.2;22.6;24.6;26.7;29.1;31.2;33.3;35.7;37.8;40.0;42.5;44.7;46.9;49.3;51.4;53.6;56.0;58.3;60.6;62.8;64.9;67.3;69.8;72.0;74.2;76.6;78.7;80.9;83.4;85.5;87.8;90.0;90.5;,0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.9;1.0;1.2;1.5;1.9;2.5;2.8;3.0;2.9;2.8;2.6;2.6;2.5;2.4;2.3;2.2;2.2;2.1;2.1;2.0;2.0;2.0;2.0;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.8;1.9;1.9;1.9;1.9;1.8;1.9;1.9;2.2;,
2019 04 27 Sat 17:52,huy,18.5,36.8,3.75,38,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.0;1.5;2.3;3.1;3.9;5.3;7.0;8.4;10.3;12.5;14.6;17.1;19.7;22.1;24.6;27.2;29.9;32.8;35.6;36.5;36.7;,0.0;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.6;1.0;1.6;2.6;5.1;7.8;9.1;9.2;8.4;7.6;7.0;7.1;6.9;6.9;6.4;5.7;5.5;5.1;4.7;4.2;3.9;3.8;3.7;3.6;3.6;3.5;3.6;4.3;,
2019 04 28 Sun 10:14,huy,18.4,36.6,3.75,39,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;1.7;2.4;3.0;4.2;5.1;6.2;7.9;10.0;11.8;13.9;16.0;18.4;20.6;23.1;25.6;28.3;31.0;33.5;35.8;36.4;36.5;36.6;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.6;0.9;1.5;2.4;4.6;7.2;8.7;9.3;8.9;8.5;8.7;8.9;8.7;8.3;7.7;7.5;7.1;6.7;6.3;5.8;5.4;5.1;4.9;4.7;4.4;4.3;4.2;4.2;5.0;5.7;,
2019 04 28 Sun 10:28,huy,18.6,38.0,3.75,42,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;1.3;1.8;2.4;3.3;3.9;4.8;5.9;7.6;9.1;10.7;12.6;14.6;16.8;18.8;21.0;23.5;25.7;27.9;30.5;33.0;35.2;37.1;37.7;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.6;1.0;1.6;2.7;5.2;7.9;9.4;9.9;10.0;9.9;9.8;9.5;9.4;9.3;9.0;8.7;8.1;7.9;7.7;7.3;6.9;6.5;6.2;6.0;5.7;5.4;5.2;5.0;4.9;4.8;3.7;2.5;2.2;,
2019 04 29 Mon 09:36,huy,18.4,38.8,3.75,43,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.5;1.0;1.5;2.2;2.8;3.6;4.5;5.3;6.7;8.4;10.1;12.3;14.4;16.7;18.9;21.4;24.0;26.6;29.1;31.8;34.3;36.4;38.2;38.5;38.7;,0.0;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.9;1.7;3.1;6.3;9.5;10.4;10.4;10.2;10.2;10.2;10.1;9.8;9.6;9.4;9.4;9.3;9.0;8.7;8.2;7.9;7.5;7.0;6.6;6.3;6.0;5.8;5.7;5.5;5.3;3.8;2.5;3.1;3.8;,
2019 04 29 Mon 09:46,huy,18.6,38.5,3.75,39,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.3;1.8;2.8;3.5;4.8;5.9;7.0;8.9;10.8;12.8;14.7;16.9;19.0;21.3;23.4;25.7;28.0;30.4;32.8;35.0;36.9;38.3;38.4;,0.0;0.4;0.4;0.4;0.4;0.4;0.5;0.6;0.9;1.1;1.7;2.5;4.0;5.6;6.5;6.9;7.0;6.9;6.8;6.5;6.1;6.0;5.8;5.7;5.4;5.0;4.7;4.3;4.1;3.9;3.8;3.7;3.6;3.6;3.6;3.4;2.5;2.4;2.7;,
2019 05 04 Sat 10:18,huy,18.6,39.3,3.75,44,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.5;0.9;1.5;2.1;2.6;3.2;4.2;5.1;6.3;7.3;9.1;11.0;12.9;15.1;17.5;19.9;22.3;24.9;27.5;30.0;32.9;35.4;37.9;39.0;39.2;39.3;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.8;1.5;2.6;5.7;9.3;10.4;10.3;10.3;10.3;10.3;10.1;9.9;9.7;9.7;9.6;9.4;9.1;8.7;8.6;8.3;7.8;7.2;6.6;6.4;6.2;6.0;5.7;5.5;5.4;5.2;3.3;2.6;3.1;3.5;,
2019 05 04 Sat 10:23,huy,18.5,39.2,3.75,40,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.7;1.2;1.7;2.4;3.3;4.1;5.1;6.0;7.1;9.3;11.0;12.7;14.9;17.1;19.3;21.8;24.1;26.6;29.0;31.5;34.0;36.7;38.6;39.0;,0.0;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.7;0.8;1.0;1.8;3.7;6.3;8.7;9.8;10.0;9.8;9.8;9.5;9.1;8.8;8.4;8.2;7.9;7.5;7.1;6.5;6.2;5.9;5.6;5.3;5.0;4.7;4.6;4.4;4.3;4.2;3.0;2.5;,
2019 05 04 Sat 10:36,huy,18.7,35.3,3.75,38,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.3;2.0;2.6;3.5;4.4;5.7;7.4;8.9;10.9;12.9;15.0;17.3;19.7;22.4;24.8;27.1;30.0;32.7;33.6;34.2;35.0;35.2;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.7;1.2;1.9;3.5;5.9;7.7;8.4;8.9;9.0;8.9;8.6;8.1;7.7;7.5;7.2;6.8;6.2;5.8;5.4;5.0;4.7;4.3;4.1;4.1;4.0;4.0;1.4;0.9;0.9;,
2019 05 05 Sun 10:11,huy,18.6,37.1,3.75,44,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.7;1.3;1.6;2.3;2.9;3.6;4.7;5.9;6.9;8.1;10.2;11.9;13.9;16.1;18.4;20.6;22.9;25.2;27.5;29.9;32.2;34.6;36.3;36.8;37.0;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.8;1.4;2.1;3.8;6.5;8.4;9.4;9.7;9.5;9.5;9.5;9.3;9.2;8.9;8.5;8.3;8.0;7.6;7.2;6.8;6.5;6.1;5.8;5.4;5.1;4.9;4.6;4.4;4.2;4.0;3.1;2.8;3.7;,
2019 05 05 Sun 10:15,huy,18.6,35.8,3.75,42,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.7;1.2;1.8;2.3;3.0;3.7;4.6;5.5;6.8;8.1;9.6;11.0;13.2;15.2;17.1;19.4;21.6;23.9;26.3;28.6;31.0;33.4;35.1;35.6;35.8;,0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.8;1.3;2.2;4.1;6.7;8.5;9.5;9.8;9.7;9.7;9.6;9.4;9.2;8.8;8.8;8.9;8.6;8.2;7.7;7.4;7.2;6.8;6.6;6.2;5.9;5.8;5.7;5.6;5.3;3.6;3.2;3.7;,
2019 05 05 Sun 10:27,karum,18.7,83.0,5.00,57,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.3;2.3;4.1;5.5;7.1;8.6;10.4;12.3;14.0;15.9;17.9;20.0;22.0;23.9;26.1;28.1;30.0;32.3;34.4;36.3;38.5;40.6;42.9;45.1;47.2;49.4;51.6;53.8;55.9;58.0;60.2;62.4;64.6;66.8;68.9;71.1;73.3;75.6;77.8;79.9;81.9;82.7;,0.0;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.6;0.8;1.0;1.2;1.5;2.0;2.6;3.0;3.2;3.2;3.1;2.9;2.7;2.5;2.3;2.3;2.2;2.1;2.1;2.0;1.9;1.9;1.9;1.8;1.8;1.7;1.8;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.6;1.6;1.6;1.6;1.6;1.6;1.5;1.6;1.6;1.6;1.6;1.6;1.5;1.7;,
2019 05 06 Mon 10:54,karum,18.6,46.1,4.25,44,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.9;1.4;1.7;2.3;3.0;3.8;4.3;5.2;6.3;7.8;9.0;11.2;13.3;15.5;17.7;20.2;22.9;25.5;28.3;31.2;34.0;37.1;40.3;43.2;45.3;45.8;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.9;1.5;2.6;5.3;8.1;9.4;10.0;10.1;10.0;9.9;9.6;9.6;9.5;9.3;9.1;8.6;8.4;8.2;7.9;7.4;6.9;6.4;6.0;5.5;5.0;4.7;4.5;4.3;4.2;4.1;3.8;2.2;2.5;,
2019 05 06 Mon 11:05,karum,18.7,80.7,5.00,57,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.4;3.0;4.4;6.0;8.0;9.6;11.8;14.0;16.0;18.1;20.1;22.2;24.4;26.6;28.5;30.7;32.9;35.0;37.2;39.5;41.6;43.7;45.9;47.9;50.1;52.2;54.3;56.5;58.7;60.8;62.8;64.9;67.0;69.2;71.5;73.6;75.6;77.7;79.8;80.5;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.6;0.8;1.1;1.4;1.8;2.3;2.7;2.8;2.7;2.6;2.3;2.3;2.2;2.1;2.0;1.9;1.8;1.8;1.8;1.7;1.7;1.7;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.5;1.5;1.6;1.6;1.6;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;,
2019 05 07 Tue 10:14,karum,18.6,46.8,4.50,40,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.2;1.9;2.9;3.6;5.0;5.9;7.2;9.2;11.2;13.2;15.6;18.1;20.5;23.3;26.1;28.9;32.1;35.2;38.3;41.8;44.8;46.3;46.6;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.8;1.3;2.0;3.6;6.0;7.7;8.4;8.6;8.5;8.0;7.8;7.5;7.3;6.9;6.1;5.7;5.4;4.9;4.5;4.0;3.8;3.6;3.5;3.3;3.1;3.1;3.0;3.0;3.8;,
2019 05 07 Tue 10:24,karum,18.7,48.2,4.00,50,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.3;0.6;0.8;1.4;1.7;2.3;2.7;3.3;3.9;4.6;5.3;6.2;7.2;8.1;9.2;10.9;12.0;13.9;15.6;17.3;19.3;21.3;23.4;25.7;28.0;30.2;32.5;35.0;37.3;39.7;42.2;44.5;47.0;47.9;,0.0;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.6;0.8;1.1;2.1;3.6;6.8;9.1;9.9;10.1;10.1;10.0;9.9;9.7;9.7;9.7;9.6;9.5;9.2;9.1;8.9;8.7;8.6;8.4;8.2;8.0;7.9;7.6;7.3;7.1;6.8;6.5;6.2;6.0;5.6;5.5;5.5;5.4;5.3;5.0;4.8;4.9;4.6;,
2019 05 10 Fri 14:58,karum,18.7,45.4,4.25,45,,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.7;0.9;1.5;2.1;2.8;3.5;4.4;5.3;6.8;8.3;9.7;11.5;13.4;15.3;17.5;19.8;22.1;24.6;27.1;29.5;32.3;35.0;37.5;40.4;42.9;44.8;45.2;45.4;,0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;1.0;1.6;2.8;5.6;8.4;9.6;10.1;10.1;9.8;9.7;9.3;9.4;9.3;9.1;8.8;8.3;8.1;7.9;7.6;7.2;6.7;6.4;6.1;5.7;5.4;5.1;4.7;4.6;4.5;4.4;4.1;3.2;2.5;3.3;4.2;,
